user_id,book_id,rating,timestamp
1,3025,5.0,1746916276.843433
1,3000,4.0,1745349106.22669
4,3010,2.0,1746366443.112434
1,3010,4.0,1745460232.704129
6,3027,5.0,1758098681.082254
1,3027,5.0,1746640266.963557
1,3028,5.0,1758309378.417812
1,3011,5.0,1745369678.433596
1,3015,5.0,1745349070.832837
1,3017,4.0,1745349101.643489
1,3022,4.0,1745372373.002072
1,3024,4.0,1745371877.739731
1,3016,2.0,1745349088.740024
4,3026,3.0,1745389931.042268
4,3032,4.0,1745465544.627721
1,3032,5.0,1758309415.583936
4,3030,4.0,1745396262.987184
4,3043,2.0,1746366282.613709
5,3072,5.0,1747119195.971305
5,3132,5.0,1747119205.572339
5,3116,3.0,1747119210.966223
1,3144,2.0,1758308809.187691
6,3144,3.0,1758098686.251991
4,3199,4.0,1745396279.658346
5,3174,2.0,1747119201.297994
1,3196,5.0,1746651440.055001
1,3197,4.0,1745377677.993559
6,3175,2.0,1758098694.164077
1,3008,5.0,1745373555.97789
1,3216,5.0,1758308701.404251
6,3216,4.0,1758098624.515044
6,3220,5.0,1758098637.626397
1,3228,5.0,1747941920.164416
5,3228,4.0,1747119128.93456
