id,amazon_user_id
1,AFLX66DKF6R3H6OEOC3TIVAYXZIQ
2,AG3S4FROO422V5KP7DJCBXVUQLJQ
3,AFEZH43XDG42KHOX4ZDOISHOJJMQ
4,AFV4HLCOXXGVRWA3MOASHTFBJ27Q
5,AFAXJFJ6SB76ZBZCXH6FUHYDY7AQ
6,AFXRDEVBGBQT3YV5J5OHSUT6H6BA
7,AG4C655RJ7WVF6PULKZ5XOOZDGAQ
8,AEQW2SPNRBQGW75TQQNSIE5ILVJA
9,AF5SAGY3WAQ46FAMS4AT6S443EMQ
10,AENJXERBPI4D3G4HWHLIXGUSGVWA
11,AFGM5VYV7COAX3HFZPIFJRUJV5FA
12,AFMW66ER6U5EC3H67WPSXOWOSGWA
13,AE3LWBL6XEW7PH4YGGKRGDMXQ7UQ
14,AHZGMQN5OMOHJAJ6F2YPOS66RSDQ
15,AEVVEAMWSRG5IWBFUSCIWVYYIE2A
16,AHAVIPRRAWXSFBWLQ6E6TNWA7QPQ
17,AHQADKTAWCEJF6LDXXMARQWKEABA
18,AG35RC4TU472F6KA5YJIGPDOUGOQ
19,AG7UKXDSRLSN7JAWGU2DNFJZZ46A
20,AEEHGWBR6JORH7OQJ2MSERI7VVJQ
21,AHAPXTFAZZ6HILQMQKZFIUTQOCHA
22,AHFV7QZABEDRH7F42JEKGOZBR43Q
23,AESSW2CIZJVVIMQVHEJKOHVNNWNQ
24,AGLKDL45I4DSJ24SXR2LMZ7XOM7Q
25,AGIYEDRLA5FIFFA3WOMYSBKMNFOA
26,AHPNDZ62QLYS6OQRQ7UGZ4P36QQA
27,AEUPWUBENET3QOS3L4AP46Q7FQQA
28,AF7DLOWN67MLXZNBDQHYLK3WROTQ
29,AEKTDOWMXZR3AL433FOAIL3LMGAA
30,AEFECNCFYYUUJK3BEJI35RHPCZXA
31,AF55B4C477ETJL6FLXM55VKE6UCQ
32,AHSX6IGKCF6FBIW4PCPKRPI53Z2Q
33,AGKM4DDDPA4EEPKT2UCSB4QD2BBA
34,AEI5L6MNUXWV4RTCNEXCEPNCUUKA
35,AEFN4IAWMNVDY65OI6Q2NSKJWDKA
37,AGLGJTIWOWTN52TLSJVRRE2QXB2Q
38,AFC2WED7UWEVLM5UORHEYEUFPKPQ
39,AGJ4HAOTAGB45K7Z6YJFICXLGHOA
40,AHWEAPNWUIO6RXQIUE7IEUOETNCQ
41,AHDCNQEZFJJGJ32UD2D7KKLTSIMQ
42,AFISMZUIUWIIRRVR7UHPKJ7AHCOA
43,AHRKP47ZO6PKHOPDZTFBP2U3EQOQ
44,AE7PD2ROUCDVPBXX6I53HZRNG7HQ
45,AGZUHXF677JUWVQUKDOFZV4KYEJQ
46,AFCHF4OZCZZT6CSVISGI27YRLY7A
47,AGNFC4CTXTLUPRZBMM3UMCZGUSJQ
48,AETPRUXX2UWVMTRDL6IFESMZ3QDQ
49,AFN26SEM3GXCLKK2SRKLUZ67N4LA
50,AHYZHW7YV4734ONWEFUZZX7NN6IA
51,AFHJ75ULPJHIGXTU4IUTV3ELYZEQ
52,AFLIDEB2XXEZ5YXOFDGRUPOGDSYA
53,AGWI452C24HVTPJSA7KWM3HNOUBQ
54,AFHMIEQA4CVL5SD2FGANBD5ZJM2A
55,AE26SLZRJYTPUHBRJMP4XTGZQGLA
56,AFIWL2SL3L7GB33FZUXTTIFNELFQ
57,AGAEGPFG2VJP7BHVAMKMKN3KPDJQ
58,AEV2EMK63UIQPEHE7V3HZXDMGW4Q
59,AE5AEF6MZZ4Q6QVYQI66U2KNP6IQ
60,AED2OJCRFVO4MKZ52B3UTSGFOMCA
61,AHSIJ2WHZ3CXWZRUVVGYDIB7QF6Q
62,AHGZWQO2NJZMTYLPML2RQWTISOJA
63,AGTNCTU3JJSVHJDNJ3G45F5JEVCQ
64,AGR5MF3AYRXHRGU6MPZ2SJWD4IWA
65,AFZ3X5EAACT7NCIRPYLBDKADNVVQ
66,AHY4ZHJIC2OUVESYV3P4IPOCKXBQ
67,AFF2EFA2NRDUQ5YPPWV3AVG72CTQ
68,AFZV5SN3EK6T3LWW676BTNEGEUUA
69,AEFT6QU77NZ3VFWEAIKEHFGU7VZA
70,AHALO6AZFTEDPN25HV5BOWLUOJ6A
71,AGMR3CGCX3Q6HZP5PJ64ESRXV2GQ
72,AH7EO4WZHNCPIVNBTUNN2PWN7BSQ
73,AE42LQ75D2Q6CYDKF6HNEAKBPIBQ
74,AGYRZYMWKSCWZRRSZVEEMQJ4XCJQ
75,AFFYRXO35LT3YN6HDXWBWONFDZ7A
76,AFLUFE26UL3NFFX2BGEZNFOPV7RQ
77,AGBLOH66545QXT2FGQGHUCDVMRHA
78,AGKZV4BY6OXCS2LE4E4VKRHFSZFQ
79,AEE43HONN5SWUE2ZLFTUS2EV5WMA
80,AHICOIKFADI3W56T7JI2EIAHLUYA
81,AGKLTZL655Q26LLCA6LUID57TH5Q
82,AEDUJK2SXQAWJVHPELCED5XJQAYQ
83,AESL6WMA3BO3ZXPTK6EAQJIOFTUQ
84,AG2OBSHXMDRFU6JDWBB6YUFXDHUQ
85,AEZD47HTTRHENHQDLNGWULFPKNTQ
87,AGW6YIZXO5JLRV6FSY3PCKZYD7KA
88,AE3ROSUFQMZSUWMRUGOEBKTGWCZA
89,AFALSQXLG3CGTCGY7DN2BWINHOCA
90,AGW75VLZ5N4YUNIA4Z2LPCI3NURQ
91,AGO6BPI7LS2ITSABGWABOWVSDAQQ
92,AEELEI6MCSWV5O7P5IES3G6LYHPQ
93,AFT3B6BD5MOSA2K3N5PMOVMOJWCQ
94,AF5RN6CPV55EFLXHTQPGJ2QO4HDQ
95,AFMQ5ZCNC5DUNV3HUGUM6C3M5Q7Q
96,AFQDYY7SVLSKG3HG2GSZZ2GTY3KQ
97,AHJWTLCEEKFA6R6XOVW55AXKJYLQ
98,AEUEDDUSBIKI2LR3L5CNZ76DZLAA
99,AGKTHLEGZVZYYJIQ5MAGIOHGOWMQ
100,AHZEUF2M2DAH5UUTLBYFYLFISEJA
101,AFG6BVAMCDW3YC426H45LO6PYAQA
102,AEMOKFRDML3SWYB7DCLK6ZW7544A
103,AEKLTYAZQAON6YZY5IGUA554O7JQ
104,AEHSIR3IIMUAO6ELJQDEGTHCV3NQ
105,AFNJPE3XZ3D3H24CD6NDCIWMX5QA
106,AFXFH57FBRAIGGN6MS2BQEMINCEA
107,AHHTZHHN74MPDOOI72UNDWEPBP2A
108,AE4RYFZ65QIFR4QWMFD7CAN3S4WQ
109,AEUJ3FOUSGG2XIDTPMGI2SHTYYEQ
110,AEIM5UAVVDZ6RWZ7UZV4VUDQQS3A
111,AGUQGTWAH4ZMX5EXTMKPY3AQ6BBA
112,AGB4A4F7PW5LJ5LCP7Q4QKZNIHLA
113,AEB4ASWUHMSAJYQSZL3O2WCA7TLQ
114,AH4QGPIPC3E5M3YRBT7JS5N3BNPA
115,AHGE4XROWZ4UAZNW3P7IKK2WMK4A
116,AFV7GZPINGWFTS6CM7CU4S2ZYHFQ
117,AENSNH2PQEHF7KFRZUJO2ZDGPNYQ
118,AH4V4JYZU6MO3462O4I7UESDIJQA
119,AGZKRM2BXECXV3BRMSQOUFIUKUZQ
120,AH3FRWOIICT6IFEIMP7AEYOMEGQQ
121,AFDF7C6RGJ4OPQYCYSOG6EIDSGLA
122,AEBTBEQRZ5KYYJFFU6MBGU7VC3ZA
123,AH25E2EIF7YDSHGEUKNLVXTKL2SA
124,AF2TKHCCRGGODPMQPIB3RYGLUCZQ
