amazon_user_id,book_id,rating,timestamp
AFLX66DKF6R3H6OEOC3TIVAYXZIQ,3037,5.0,2002-03-02 03:40:59.000000
AG3S4FROO422V5KP7DJCBXVUQLJQ,3085,5.0,2004-07-03 23:28:41.000000
AG3S4FROO422V5KP7DJCBXVUQLJQ,3144,5.0,2004-04-13 23:37:54.000000
AG3S4FROO422V5KP7DJCBXVUQLJQ,3137,5.0,2002-07-05 16:03:05.000000
AG3S4FROO422V5KP7DJCBXVUQLJQ,3076,5.0,2002-07-01 09:17:10.000000
AG3S4FROO422V5KP7DJCBXVUQLJQ,3013,5.0,2002-03-23 20:12:33.000000
AFEZH43XDG42KHOX4ZDOISHOJJMQ,3098,5.0,2017-01-01 03:26:33.000000
AFV4HLCOXXGVRWA3MOASHTFBJ27Q,3142,5.0,2000-11-01 23:57:40.000000
AFAXJFJ6SB76ZBZCXH6FUHYDY7AQ,3108,1.0,2014-08-18 11:51:23.000000
AFXRDEVBGBQT3YV5J5OHSUT6H6BA,3002,1.0,2019-02-28 09:31:36.105000
AG4C655RJ7WVF6PULKZ5XOOZDGAQ,3100,3.0,2023-02-19 11:04:20.030000
AEQW2SPNRBQGW75TQQNSIE5ILVJA,3150,2.0,2020-06-08 03:09:31.777000
AF5SAGY3WAQ46FAMS4AT6S443EMQ,3153,4.0,2019-03-07 08:00:58.439000
AENJXERBPI4D3G4HWHLIXGUSGVWA,3164,3.0,2018-12-22 06:16:58.250000
AFGM5VYV7COAX3HFZPIFJRUJV5FA,3051,5.0,2015-07-09 03:43:15.000000
AFMW66ER6U5EC3H67WPSXOWOSGWA,3051,5.0,2017-05-13 02:13:41.000000
AE3LWBL6XEW7PH4YGGKRGDMXQ7UQ,3142,5.0,2018-02-08 00:52:10.954000
AHZGMQN5OMOHJAJ6F2YPOS66RSDQ,3017,4.0,2019-08-01 03:08:56.092000
AEVVEAMWSRG5IWBFUSCIWVYYIE2A,3097,5.0,2012-03-14 20:00:45.000000
AHAVIPRRAWXSFBWLQ6E6TNWA7QPQ,3062,3.0,2005-08-22 10:37:01.000000
AHQADKTAWCEJF6LDXXMARQWKEABA,3142,5.0,2014-10-21 07:54:13.000000
AG35RC4TU472F6KA5YJIGPDOUGOQ,3101,5.0,2014-11-20 23:25:16.000000
AG7UKXDSRLSN7JAWGU2DNFJZZ46A,3051,5.0,2016-06-09 22:07:51.000000
AEEHGWBR6JORH7OQJ2MSERI7VVJQ,3036,5.0,2018-11-02 22:05:52.965000
AHAPXTFAZZ6HILQMQKZFIUTQOCHA,3100,5.0,2017-04-05 00:08:04.000000
AHFV7QZABEDRH7F42JEKGOZBR43Q,3040,5.0,2015-07-14 07:05:53.000000
AESSW2CIZJVVIMQVHEJKOHVNNWNQ,3098,5.0,2016-04-22 10:09:12.000000
AGLKDL45I4DSJ24SXR2LMZ7XOM7Q,3122,5.0,2016-12-02 17:07:18.000000
AGIYEDRLA5FIFFA3WOMYSBKMNFOA,3142,5.0,2016-09-06 17:38:38.000000
AHPNDZ62QLYS6OQRQ7UGZ4P36QQA,3100,4.0,2019-07-10 15:41:12.171000
AEUPWUBENET3QOS3L4AP46Q7FQQA,3002,2.0,2018-02-14 12:10:37.000000
AEUPWUBENET3QOS3L4AP46Q7FQQA,3101,5.0,2014-07-28 16:11:39.000000
AEUPWUBENET3QOS3L4AP46Q7FQQA,3037,5.0,2004-04-07 00:25:48.000000
AF7DLOWN67MLXZNBDQHYLK3WROTQ,3062,5.0,2012-01-05 09:35:08.000000
AEKTDOWMXZR3AL433FOAIL3LMGAA,3098,5.0,2017-07-31 09:36:26.932000
AEFECNCFYYUUJK3BEJI35RHPCZXA,3031,5.0,2014-08-26 08:48:42.000000
AF55B4C477ETJL6FLXM55VKE6UCQ,3001,5.0,2002-04-01 22:33:51.000000
AHSX6IGKCF6FBIW4PCPKRPI53Z2Q,3163,3.0,2021-05-02 04:02:46.900000
AGKM4DDDPA4EEPKT2UCSB4QD2BBA,3107,5.0,2016-03-11 22:02:04.000000
AEI5L6MNUXWV4RTCNEXCEPNCUUKA,3047,5.0,2014-10-15 00:18:46.000000
AEFN4IAWMNVDY65OI6Q2NSKJWDKA,3000,1.0,2020-07-10 21:43:16.758000
AGLGJTIWOWTN52TLSJVRRE2QXB2Q,3017,3.0,2013-11-28 17:56:23.000000
AFC2WED7UWEVLM5UORHEYEUFPKPQ,3125,5.0,2013-04-15 10:52:20.000000
AGJ4HAOTAGB45K7Z6YJFICXLGHOA,3002,4.0,2015-06-08 13:20:14.000000
AHWEAPNWUIO6RXQIUE7IEUOETNCQ,3129,5.0,2018-07-04 04:40:13.098000
AHDCNQEZFJJGJ32UD2D7KKLTSIMQ,3125,1.0,2012-11-21 12:38:31.000000
AFISMZUIUWIIRRVR7UHPKJ7AHCOA,3140,1.0,2016-05-14 04:54:35.000000
AHRKP47ZO6PKHOPDZTFBP2U3EQOQ,3100,5.0,2020-06-29 12:33:55.994000
AE7PD2ROUCDVPBXX6I53HZRNG7HQ,3100,4.0,2022-12-20 02:13:11.589000
AGZUHXF677JUWVQUKDOFZV4KYEJQ,3018,5.0,2003-03-12 22:44:55.000000
AFCHF4OZCZZT6CSVISGI27YRLY7A,3157,2.0,2016-10-02 23:05:14.000000
AGNFC4CTXTLUPRZBMM3UMCZGUSJQ,3142,5.0,2020-08-28 03:43:29.464000
AETPRUXX2UWVMTRDL6IFESMZ3QDQ,3098,5.0,2017-11-15 11:29:30.626000
AFN26SEM3GXCLKK2SRKLUZ67N4LA,3098,5.0,2016-08-19 18:53:26.000000
AHYZHW7YV4734ONWEFUZZX7NN6IA,3090,1.0,2020-09-28 08:35:34.416000
AFHJ75ULPJHIGXTU4IUTV3ELYZEQ,3107,5.0,2009-08-09 00:33:19.000000
AFLIDEB2XXEZ5YXOFDGRUPOGDSYA,3142,5.0,2016-08-11 02:27:26.000000
AGWI452C24HVTPJSA7KWM3HNOUBQ,3142,5.0,2013-11-25 10:41:56.000000
AFHMIEQA4CVL5SD2FGANBD5ZJM2A,3051,3.0,2020-05-08 23:49:30.835000
AE26SLZRJYTPUHBRJMP4XTGZQGLA,3098,4.0,2019-05-02 00:53:15.317000
AFIWL2SL3L7GB33FZUXTTIFNELFQ,3002,5.0,2015-10-10 08:31:01.000000
AGAEGPFG2VJP7BHVAMKMKN3KPDJQ,3047,4.0,2006-08-11 09:06:45.000000
AEV2EMK63UIQPEHE7V3HZXDMGW4Q,3098,5.0,2017-01-02 14:55:46.000000
AE5AEF6MZZ4Q6QVYQI66U2KNP6IQ,3142,5.0,2008-02-15 02:07:12.000000
AE5AEF6MZZ4Q6QVYQI66U2KNP6IQ,3107,5.0,2006-10-28 09:41:07.000000
AED2OJCRFVO4MKZ52B3UTSGFOMCA,3022,5.0,2023-03-14 08:35:50.594000
AHSIJ2WHZ3CXWZRUVVGYDIB7QF6Q,3154,5.0,2003-12-14 07:03:10.000000
AHGZWQO2NJZMTYLPML2RQWTISOJA,3107,5.0,2003-09-18 20:29:18.000000
AHGZWQO2NJZMTYLPML2RQWTISOJA,3142,4.0,2003-08-29 10:11:06.000000
AGTNCTU3JJSVHJDNJ3G45F5JEVCQ,3050,5.0,2017-02-24 02:49:56.000000
AGR5MF3AYRXHRGU6MPZ2SJWD4IWA,3036,4.0,2014-10-02 07:51:02.000000
AFZ3X5EAACT7NCIRPYLBDKADNVVQ,3041,4.0,2014-10-22 07:29:47.000000
AHY4ZHJIC2OUVESYV3P4IPOCKXBQ,3100,5.0,2017-06-28 07:51:26.049000
