user_id,book_id,rating
AFLX66DKF6R3H6OEOC3TIVAYXZIQ,3037,5.0
AG3S4FROO422V5KP7DJCBXVUQLJQ,3085,5.0
AG3S4FROO422V5KP7DJCBXVUQLJQ,3144,5.0
AG3S4FROO422V5KP7DJCBXVUQLJQ,3137,5.0
AG3S4FROO422V5KP7DJCBXVUQLJQ,3076,5.0
AG3S4FROO422V5KP7DJCBXVUQLJQ,3013,5.0
AFEZH43XDG42KHOX4ZDOISHOJJMQ,3098,5.0
AFV4HLCOXXGVRWA3MOASHTFBJ27Q,3142,5.0
AFAXJFJ6SB76ZBZCXH6FUHYDY7AQ,3108,1.0
AFXRDEVBGBQT3YV5J5OHSUT6H6BA,3002,1.0
AG4C655RJ7WVF6PULKZ5XOOZDGAQ,3100,3.0
AEQW2SPNRBQGW75TQQNSIE5ILVJA,3150,2.0
AF5SAGY3WAQ46FAMS4AT6S443EMQ,3153,4.0
AENJXERBPI4D3G4HWHLIXGUSGVWA,3164,3.0
AFGM5VYV7COAX3HFZPIFJRUJV5FA,3051,5.0
AFMW66ER6U5EC3H67WPSXOWOSGWA,3051,5.0
AE3LWBL6XEW7PH4YGGKRGDMXQ7UQ,3142,5.0
AHZGMQN5OMOHJAJ6F2YPOS66RSDQ,3017,4.0
AEVVEAMWSRG5IWBFUSCIWVYYIE2A,3097,5.0
AHAVIPRRAWXSFBWLQ6E6TNWA7QPQ,3062,3.0
AHQADKTAWCEJF6LDXXMARQWKEABA,3142,5.0
AG35RC4TU472F6KA5YJIGPDOUGOQ,3101,5.0
AG7UKXDSRLSN7JAWGU2DNFJZZ46A,3051,5.0
AEEHGWBR6JORH7OQJ2MSERI7VVJQ,3036,5.0
AHAPXTFAZZ6HILQMQKZFIUTQOCHA,3100,5.0
AHFV7QZABEDRH7F42JEKGOZBR43Q,3040,5.0
AESSW2CIZJVVIMQVHEJKOHVNNWNQ,3098,5.0
AGLKDL45I4DSJ24SXR2LMZ7XOM7Q,3122,5.0
AGIYEDRLA5FIFFA3WOMYSBKMNFOA,3142,5.0
AHPNDZ62QLYS6OQRQ7UGZ4P36QQA,3100,4.0
AEUPWUBENET3QOS3L4AP46Q7FQQA,3002,2.0
AEUPWUBENET3QOS3L4AP46Q7FQQA,3101,5.0
AEUPWUBENET3QOS3L4AP46Q7FQQA,3037,5.0
AF7DLOWN67MLXZNBDQHYLK3WROTQ,3062,5.0
AEKTDOWMXZR3AL433FOAIL3LMGAA,3098,5.0
AEFECNCFYYUUJK3BEJI35RHPCZXA,3031,5.0
AF55B4C477ETJL6FLXM55VKE6UCQ,3001,5.0
AHSX6IGKCF6FBIW4PCPKRPI53Z2Q,3163,3.0
AGKM4DDDPA4EEPKT2UCSB4QD2BBA,3107,5.0
AEI5L6MNUXWV4RTCNEXCEPNCUUKA,3047,5.0
AEFN4IAWMNVDY65OI6Q2NSKJWDKA,3000,1.0
AGLGJTIWOWTN52TLSJVRRE2QXB2Q,3017,3.0
AFC2WED7UWEVLM5UORHEYEUFPKPQ,3125,5.0
AGJ4HAOTAGB45K7Z6YJFICXLGHOA,3002,4.0
AHWEAPNWUIO6RXQIUE7IEUOETNCQ,3129,5.0
AHDCNQEZFJJGJ32UD2D7KKLTSIMQ,3125,1.0
AFISMZUIUWIIRRVR7UHPKJ7AHCOA,3140,1.0
AHRKP47ZO6PKHOPDZTFBP2U3EQOQ,3100,5.0
AE7PD2ROUCDVPBXX6I53HZRNG7HQ,3100,4.0
AGZUHXF677JUWVQUKDOFZV4KYEJQ,3018,5.0
AFCHF4OZCZZT6CSVISGI27YRLY7A,3157,2.0
AGNFC4CTXTLUPRZBMM3UMCZGUSJQ,3142,5.0
AETPRUXX2UWVMTRDL6IFESMZ3QDQ,3098,5.0
AFN26SEM3GXCLKK2SRKLUZ67N4LA,3098,5.0
AHYZHW7YV4734ONWEFUZZX7NN6IA,3090,1.0
AFHJ75ULPJHIGXTU4IUTV3ELYZEQ,3107,5.0
AFLIDEB2XXEZ5YXOFDGRUPOGDSYA,3142,5.0
AGWI452C24HVTPJSA7KWM3HNOUBQ,3142,5.0
AFHMIEQA4CVL5SD2FGANBD5ZJM2A,3051,3.0
AE26SLZRJYTPUHBRJMP4XTGZQGLA,3098,4.0
AFIWL2SL3L7GB33FZUXTTIFNELFQ,3002,5.0
AGAEGPFG2VJP7BHVAMKMKN3KPDJQ,3047,4.0
AEV2EMK63UIQPEHE7V3HZXDMGW4Q,3098,5.0
AE5AEF6MZZ4Q6QVYQI66U2KNP6IQ,3142,5.0
AE5AEF6MZZ4Q6QVYQI66U2KNP6IQ,3107,5.0
AED2OJCRFVO4MKZ52B3UTSGFOMCA,3022,5.0
AHSIJ2WHZ3CXWZRUVVGYDIB7QF6Q,3154,5.0
AHGZWQO2NJZMTYLPML2RQWTISOJA,3107,5.0
AHGZWQO2NJZMTYLPML2RQWTISOJA,3142,4.0
AGTNCTU3JJSVHJDNJ3G45F5JEVCQ,3050,5.0
AGR5MF3AYRXHRGU6MPZ2SJWD4IWA,3036,4.0
AFZ3X5EAACT7NCIRPYLBDKADNVVQ,3041,4.0
AHY4ZHJIC2OUVESYV3P4IPOCKXBQ,3100,5.0
AFF2EFA2NRDUQ5YPPWV3AVG72CTQ,3017,2.0
AFZV5SN3EK6T3LWW676BTNEGEUUA,3051,5.0
AEFT6QU77NZ3VFWEAIKEHFGU7VZA,3027,3.0
AHALO6AZFTEDPN25HV5BOWLUOJ6A,3062,5.0
AGMR3CGCX3Q6HZP5PJ64ESRXV2GQ,3043,1.0
AH7EO4WZHNCPIVNBTUNN2PWN7BSQ,3002,5.0
AE42LQ75D2Q6CYDKF6HNEAKBPIBQ,3148,1.0
AGYRZYMWKSCWZRRSZVEEMQJ4XCJQ,3051,5.0
AFFYRXO35LT3YN6HDXWBWONFDZ7A,3027,5.0
AFLUFE26UL3NFFX2BGEZNFOPV7RQ,3147,5.0
AGBLOH66545QXT2FGQGHUCDVMRHA,3098,5.0
AGKZV4BY6OXCS2LE4E4VKRHFSZFQ,3112,5.0
AEE43HONN5SWUE2ZLFTUS2EV5WMA,3098,5.0
AHICOIKFADI3W56T7JI2EIAHLUYA,3128,5.0
AGKLTZL655Q26LLCA6LUID57TH5Q,3027,4.0
AEDUJK2SXQAWJVHPELCED5XJQAYQ,3147,5.0
AESL6WMA3BO3ZXPTK6EAQJIOFTUQ,3100,5.0
AG2OBSHXMDRFU6JDWBB6YUFXDHUQ,3026,5.0
AEZD47HTTRHENHQDLNGWULFPKNTQ,3142,5.0
AGW6YIZXO5JLRV6FSY3PCKZYD7KA,3017,4.0
